day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;VOLCANIC_ROCK_VOUCHER_10500;99;19;;;;;100;19;;;;;99.5;0.0
0;0;DJEMBES;13493;72;;;;;13494;72;;;;;13493.5;0.0
0;0;CROISSANTS;4321;111;;;;;4322;111;;;;;4321.5;0.0
0;0;JAMS;6631;210;;;;;6633;210;;;;;6632.0;0.0
0;0;VOLCANIC_ROCK_VOUCHER_10000;505;19;;;;;506;19;;;;;505.5;0.0
0;0;KELP;2028;30;;;;;2032;30;;;;;2030.0;0.0
0;0;VOLCANIC_ROCK_VOUCHER_9750;754;19;;;;;755;19;;;;;754.5;0.0
0;0;PICNIC_BASKET1;59223;19;59222;24;;;59234;19;59235;24;;;59228.5;0.0
0;0;PICNIC_BASKET2;30502;43;;;;;30508;19;30509;24;;;30505.0;0.0
0;0;VOLCANIC_ROCK_VOUCHER_9500;1003;19;;;;;1004;19;;;;;1003.5;0.0
0;0;RAINFOREST_RESIN;9992;30;;;;;10008;30;;;;;10000.0;0.0
0;0;VOLCANIC_ROCK_VOUCHER_10250;273;19;;;;;274;19;;;;;273.5;0.0
0;0;SQUID_INK;1968;30;;;;;1971;30;;;;;1969.5;0.0
0;0;VOLCANIC_ROCK;10502;205;;;;;10504;146;10505;59;;;10503.0;0.0
0;100;SQUID_INK;1969;4;1967;31;;;1971;31;;;;;1970.0;0.0
0;100;JAMS;6631;95;6630;170;;;6632;95;6633;170;;;6631.5;0.0
0;100;VOLCANIC_ROCK_VOUCHER_10000;515;13;;;;;516;13;;;;;515.5;0.0
0;100;KELP;2030;4;2028;31;;;2032;31;;;;;2031.0;0.0
0;100;RAINFOREST_RESIN;10000;4;9992;31;;;10008;31;;;;;10004.0;0.0
0;100;VOLCANIC_ROCK_VOUCHER_10250;279;13;;;;;280;13;;;;;279.5;0.0
0;100;DJEMBES;13492;66;;;;;13494;66;;;;;13493.0;0.0
0;100;VOLCANIC_ROCK;10509;192;;;;;10511;122;10512;70;;;10510.0;0.0
0;100;VOLCANIC_ROCK_VOUCHER_10500;102;13;;;;;103;13;;;;;102.5;0.0
0;100;CROISSANTS;4321;147;;;;;4322;52;4323;95;;;4321.5;0.0
0;100;VOLCANIC_ROCK_VOUCHER_9750;761;13;;;;;762;13;;;;;761.5;0.0
0;100;PICNIC_BASKET1;59223;13;59222;20;;;59233;1;59234;32;;;59228.0;0.0
0;100;PICNIC_BASKET2;30501;33;;;;;30507;13;30508;20;;;30504.0;0.0
