day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;CROISSANTS;4304;112;;;;;4305;112;;;;;4304.5;0.0
-1;0;JAMS;6670;66;6669;137;;;6671;66;6672;137;;;6670.5;0.0
-1;0;SQUID_INK;2005;1;2002;31;;;2006;31;;;;;2005.5;0.0
-1;0;PICNIC_BASKET1;59284;20;59283;18;;;59294;2;59295;36;;;59289.0;0.0
-1;0;PICNIC_BASKET2;30606;20;30605;18;;;30612;20;30613;18;;;30609.0;0.0
-1;0;RAINFOREST_RESIN;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;0;DJEMBES;13450;55;;;;;13451;55;;;;;13450.5;0.0
-1;0;KELP;2028;1;2026;2;2025;29;2029;31;;;;;2028.5;0.0
-1;100;PICNIC_BASKET1;59282;17;59281;20;;;59292;2;59293;15;59294;20;59287.0;0.0
-1;100;PICNIC_BASKET2;30610;17;30609;20;;;30616;37;;;;;30613.0;0.0
-1;100;KELP;2025;24;;;;;2028;2;2029;22;;;2026.5;0.0
-1;100;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;0.0
-1;100;CROISSANTS;4304;133;;;;;4305;133;;;;;4304.5;0.0
-1;100;JAMS;6670;81;6669;116;;;6671;81;6672;116;;;6670.5;0.0
-1;100;DJEMBES;13449;57;;;;;13451;57;;;;;13450.0;0.0
-1;100;SQUID_INK;2004;24;;;;;2007;24;;;;;2005.5;0.0
-1;200;RAINFOREST_RESIN;9995;20;;;;;10005;20;;;;;10000.0;0.0
-1;200;DJEMBES;13450;20;13449;31;;;13451;51;;;;;13450.5;0.0
-1;200;KELP;2025;22;;;;;2028;20;;;;;2026.5;0.0
-1;200;CROISSANTS;4304;110;;;;;4305;110;;;;;4304.5;0.0
-1;200;JAMS;6670;253;;;;;6672;253;;;;;6671.0;0.0
-1;200;SQUID_INK;2003;22;;;;;2006;20;;;;;2004.5;0.0
-1;200;PICNIC_BASKET1;59288;13;59287;20;;;59299;13;59300;20;;;59293.5;0.0
-1;200;PICNIC_BASKET2;30612;13;30611;20;;;30618;33;;;;;30615.0;0.0
-1;300;DJEMBES;13449;73;;;;;13451;73;;;;;13450.0;0.0
-1;300;SQUID_INK;2003;31;;;;;2006;31;;;;;2004.5;0.0
-1;300;PICNIC_BASKET1;59289;2;59288;17;59287;24;59298;2;59299;17;59300;24;59293.5;0.0
-1;300;PICNIC_BASKET2;30618;2;30617;41;;;30623;19;30624;24;;;30620.5;0.0
-1;300;KELP;2025;31;;;;;2028;2;2029;29;;;2026.5;0.0
-1;300;RAINFOREST_RESIN;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;0.0
-1;300;CROISSANTS;4304;118;;;;;4305;118;;;;;4304.5;0.0
-1;300;JAMS;6671;244;;;;;6673;244;;;;;6672.0;0.0
-1;400;JAMS;6671;233;;;;;6673;233;;;;;6672.0;0.0
-1;400;CROISSANTS;4305;142;;;;;4306;142;;;;;4305.5;0.0
-1;400;SQUID_INK;2004;27;;;;;2007;27;;;;;2005.5;0.0
-1;400;PICNIC_BASKET2;30620;2;30619;43;;;30622;6;30625;17;30626;28;30621.0;0.0
-1;400;PICNIC_BASKET1;59290;2;59289;15;59288;28;59294;6;59299;2;59300;15;59292.0;0.0
-1;400;RAINFOREST_RESIN;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;0.0
-1;400;DJEMBES;13452;78;;;;;13453;78;;;;;13452.5;0.0
-1;400;KELP;2025;27;;;;;2028;27;;;;;2026.5;0.0
-1;500;PICNIC_BASKET2;30623;6;30618;13;30617;17;30624;30;;;;;30623.5;0.0
-1;500;PICNIC_BASKET1;59304;6;59295;13;59294;17;59306;13;59307;17;;;59305.0;0.0
-1;500;KELP;2025;30;;;;;2028;30;;;;;2026.5;0.0
-1;500;RAINFOREST_RESIN;9995;30;;;;;10002;4;10005;30;;;9998.5;0.0
-1;500;CROISSANTS;4305;135;;;;;4306;135;;;;;4305.5;0.0
-1;500;JAMS;6671;237;;;;;6673;237;;;;;6672.0;0.0
-1;500;DJEMBES;13453;54;;;;;13454;54;;;;;13453.5;0.0
-1;500;SQUID_INK;2004;30;;;;;2007;30;;;;;2005.5;0.0
-1;600;RAINFOREST_RESIN;10000;5;9995;25;;;10005;25;;;;;10002.5;0.0
-1;600;DJEMBES;13456;34;13455;47;;;13457;77;;;;;13456.5;0.0
-1;600;KELP;2026;5;2025;31;;;2028;25;;;;;2027.0;0.0
-1;600;CROISSANTS;4305;126;;;;;4306;126;;;;;4305.5;0.0
-1;600;JAMS;6672;89;6671;193;;;6673;89;6674;193;;;6672.5;0.0
-1;600;SQUID_INK;2006;5;2005;6;2004;25;2008;25;;;;;2007.0;0.0
-1;600;PICNIC_BASKET2;30624;6;30622;14;30621;30;30628;44;;;;;30626.0;0.0
-1;600;PICNIC_BASKET1;59304;6;59299;14;59298;30;59310;14;59311;30;;;59307.0;0.0
-1;700;DJEMBES;13454;67;;;;;13455;67;;;;;13454.5;0.0
-1;700;SQUID_INK;2006;2;2005;23;;;2009;23;;;;;2007.5;0.0
-1;700;PICNIC_BASKET2;30626;2;30621;12;30620;19;30627;31;;;;;30626.5;0.0
-1;700;PICNIC_BASKET1;59304;2;59294;12;59293;19;59305;12;59306;19;;;59304.5;0.0
-1;700;KELP;2025;2;2024;23;;;2028;23;;;;;2026.5;0.0
-1;700;RAINFOREST_RESIN;9995;23;;;;;10005;23;;;;;10000.0;0.0
-1;700;CROISSANTS;4305;109;;;;;4306;41;4307;68;;;4305.5;0.0
-1;700;JAMS;6672;260;;;;;6674;260;;;;;6673.0;0.0
-1;800;CROISSANTS;4305;107;;;;;4306;35;4307;72;;;4305.5;0.0
-1;800;JAMS;6672;72;6671;106;;;6673;72;6674;106;;;6672.5;0.0
-1;800;SQUID_INK;2005;30;;;;;2008;1;2009;29;;;2006.5;0.0
-1;800;PICNIC_BASKET2;30618;1;30617;34;;;30623;14;30624;21;;;30620.5;0.0
-1;800;PICNIC_BASKET1;59302;1;59301;13;59300;21;59311;1;59312;13;59313;21;59306.5;0.0
-1;800;RAINFOREST_RESIN;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;0.0
-1;800;DJEMBES;13457;64;;;;;13458;64;;;;;13457.5;0.0
-1;800;KELP;2024;1;2023;29;;;2027;30;;;;;2025.5;0.0
-1;900;PICNIC_BASKET2;30620;1;30619;38;;;30625;14;30626;25;;;30622.5;0.0
-1;900;PICNIC_BASKET1;59309;14;59308;25;;;59319;1;59320;13;59321;25;59314.0;0.0
-1;900;KELP;2024;23;;;;;2027;23;;;;;2025.5;0.0
-1;900;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;0.0
-1;900;CROISSANTS;4306;46;4305;80;;;4307;126;;;;;4306.5;0.0
-1;900;JAMS;6672;289;;;;;6674;279;;;;;6673.0;0.0
-1;900;DJEMBES;13457;63;;;;;13458;25;13459;31;;;13457.5;0.0
-1;900;SQUID_INK;2005;23;;;;;2008;23;;;;;2006.5;0.0
-1;1000;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;0.0
-1;1000;DJEMBES;13456;62;;;;;13457;25;13458;37;;;13456.5;0.0
-1;1000;KELP;2024;26;;;;;2026;6;2027;26;;;2025.0;0.0
-1;1000;CROISSANTS;4306;164;;;;;4307;164;;;;;4306.5;0.0
-1;1000;JAMS;6673;100;6672;125;;;6674;100;6675;125;;;6673.5;0.0
